Airline,Source,Destination,Duration,Total stops,Departure time,Arrival time,Price,Year,Month,Day
Emirates,TLV,BKK,14,1,12,7,460,2023,5,2
Emirates,TLV,BKK,14,1,13,7,500,2023,5,2
Cathay Pacific,TLV,BKK,15,1,14,10,507,2023,5,2
Gulf Air,TLV,BKK,17,2,17,15,383,2023,5,2
Air India,TLV,BKK,17,1,22,19,445,2023,5,2
Emirates,TLV,BKK,15,1,23,18,460,2023,5,2
Ethiopian Air,TLV,BKK,16,1,15,12,487,2023,5,2
Emirates,TLV,BKK,16,1,11,7,500,2023,5,2
Cathay Pacific,TLV,BKK,16,1,14,11,507,2023,5,2
Emirates,TLV,BKK,13,1,19,12,475,2023,5,3
EL AL,TLV,BKK,11,0,22,14,411,2023,5,3
Multiple companies,TLV,BKK,33,3,18,8,385,2023,5,3
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,3
Emirates,TLV,BKK,12,1,19,12,461,2023,5,3
Emirates,TLV,BKK,13,1,19,12,461,2023,5,3
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,3
Emirates,TLV,BKK,14,1,12,7,461,2023,5,3
Emirates,TLV,BKK,13,1,1,18,465,2023,5,3
Emirates,TLV,BKK,14,1,13,7,507,2023,5,3
Emirates,TLV,BKK,15,1,23,18,465,2023,5,3
Emirates,TLV,BKK,16,1,11,7,507,2023,5,3
Turkish Airlines,TLV,BKK,14,1,12,6,702,2023,5,3
Emirates,TLV,BKK,19,1,19,18,461,2023,5,3
Emirates,TLV,BKK,19,1,12,12,461,2023,5,3
Emirates,TLV,BKK,20,1,12,12,461,2023,5,3
Emirates,TLV,BKK,18,1,13,12,507,2023,5,3
Emirates,TLV,BKK,12,1,19,12,475,2023,5,4
EL AL,TLV,BKK,11,0,22,14,410,2023,5,4
Royal Jordanian,TLV,BKK,10,1,0,15,418,2023,5,4
Etihad Airways,TLV,BKK,13,1,15,8,437,2023,5,4
Emirates,TLV,BKK,12,1,19,12,460,2023,5,4
Emirates,TLV,BKK,13,1,19,12,460,2023,5,4
Emirates,TLV,BKK,13,1,1,18,460,2023,5,4
Emirates,TLV,BKK,14,1,12,7,460,2023,5,4
Emirates,TLV,BKK,14,1,13,7,500,2023,5,4
Emirates,TLV,BKK,15,1,23,18,460,2023,5,4
Emirates,TLV,BKK,19,1,19,18,460,2023,5,4
Ethiopian Air,TLV,BKK,16,1,15,12,487,2023,5,4
Emirates,TLV,BKK,16,1,11,7,500,2023,5,4
Cathay Pacific,TLV,BKK,16,1,14,11,507,2023,5,4
Thai Airways,TLV,BKK,11,0,22,14,629,2023,5,4
Emirates,TLV,BKK,19,1,12,12,460,2023,5,4
Emirates,TLV,BKK,12,1,19,12,475,2023,5,5
Emirates,TLV,BKK,12,1,19,12,460,2023,5,5
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,5
Emirates,TLV,BKK,13,1,19,12,460,2023,5,5
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,5
Emirates,TLV,BKK,14,1,12,7,460,2023,5,5
Emirates,TLV,BKK,13,1,1,18,464,2023,5,5
Emirates,TLV,BKK,14,1,13,7,507,2023,5,5
Emirates,TLV,BKK,19,1,19,18,460,2023,5,5
Emirates,TLV,BKK,15,1,23,18,464,2023,5,5
Emirates,TLV,BKK,16,1,11,7,507,2023,5,5
Emirates,TLV,BKK,19,1,12,12,460,2023,5,5
Emirates,TLV,BKK,20,1,12,12,460,2023,5,5
Emirates,TLV,BKK,18,1,13,12,507,2023,5,5
Emirates,TLV,BKK,19,1,13,12,507,2023,5,5
Emirates,TLV,BKK,21,1,11,12,507,2023,5,5
Emirates,TLV,BKK,12,1,19,12,475,2023,5,6
Royal Jordanian,TLV,BKK,10,1,0,15,418,2023,5,6
Ryanair,TLV,BKK,34,3,17,8,338,2023,5,6
EL AL,TLV,BKK,11,0,22,14,448,2023,5,6
Emirates,TLV,BKK,12,1,19,12,462,2023,5,6
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,6
Emirates,TLV,BKK,13,1,19,12,462,2023,5,6
Emirates,TLV,BKK,14,1,12,7,462,2023,5,6
Emirates,TLV,BKK,13,1,1,18,465,2023,5,6
Emirates,TLV,BKK,15,1,23,18,465,2023,5,6
Emirates,TLV,BKK,14,1,13,7,507,2023,5,6
Thai Airways,TLV,BKK,11,0,22,14,707,2023,5,6
Air India,TLV,BKK,17,1,22,19,445,2023,5,6
Emirates,TLV,BKK,19,1,19,18,462,2023,5,6
Emirates,TLV,BKK,19,1,12,12,462,2023,5,6
Ethiopian Air,TLV,BKK,17,1,15,13,486,2023,5,6
Emirates,TLV,BKK,16,1,11,7,507,2023,5,6
Emirates,TLV,BKK,14,1,12,7,475,2023,5,7
EL AL,TLV,BKK,11,0,22,14,423,2023,5,7
Etihad Airways,TLV,BKK,14,1,14,8,437,2023,5,7
Emirates,TLV,BKK,14,1,12,7,475,2023,5,7
Emirates,TLV,BKK,13,1,1,18,517,2023,5,7
Emirates,TLV,BKK,15,1,23,18,517,2023,5,7
Emirates,TLV,BKK,12,1,19,12,615,2023,5,7
Emirates,TLV,BKK,13,1,19,12,615,2023,5,7
Emirates,TLV,BKK,14,1,13,7,615,2023,5,7
Air India,TLV,BKK,17,1,22,19,461,2023,5,7
Emirates,TLV,BKK,19,1,12,12,475,2023,5,7
Emirates,TLV,BKK,20,1,12,12,475,2023,5,7
Pegasus Airlines,TLV,BKK,19,2,6,6,562,2023,5,7
Emirates,TLV,BKK,16,1,11,7,615,2023,5,7
Emirates,TLV,BKK,26,1,12,18,475,2023,5,7
Ethiopian Air,TLV,BKK,22,1,10,12,504,2023,5,7
Emirates,TLV,BKK,13,1,19,12,475,2023,5,8
EL AL,TLV,BKK,11,0,22,14,411,2023,5,8
Multiple companies,TLV,BKK,42,3,20,19,375,2023,5,8
Etihad Airways,TLV,BKK,13,1,14,8,414,2023,5,8
Emirates,TLV,BKK,13,1,19,12,460,2023,5,8
Emirates,TLV,BKK,12,1,19,12,466,2023,5,8
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,8
Emirates,TLV,BKK,14,1,12,7,460,2023,5,8
Emirates,TLV,BKK,13,1,1,18,464,2023,5,8
Emirates,TLV,BKK,14,1,13,7,507,2023,5,8
Thai Airways,TLV,BKK,11,0,22,14,629,2023,5,8
Gulf Air,TLV,BKK,20,1,9,9,376,2023,5,8
Emirates,TLV,BKK,15,1,23,18,464,2023,5,8
Emirates,TLV,BKK,16,1,11,7,507,2023,5,8
Royal Jordanian,TLV,BKK,14,2,0,18,527,2023,5,8
Turkish Airlines,TLV,BKK,14,1,12,6,692,2023,5,8
Emirates,TLV,BKK,19,1,19,18,460,2023,5,8
Emirates,TLV,BKK,12,1,19,12,475,2023,5,9
EL AL,TLV,BKK,11,0,22,14,407,2023,5,9
Arkia,TLV,BKK,32,2,7,19,343,2023,5,9
Royal Jordanian,TLV,BKK,10,1,0,15,418,2023,5,9
Emirates,TLV,BKK,12,1,19,12,456,2023,5,9
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,9
Emirates,TLV,BKK,13,1,19,12,456,2023,5,9
Emirates,TLV,BKK,14,1,12,7,456,2023,5,9
Emirates,TLV,BKK,13,1,1,18,465,2023,5,9
Emirates,TLV,BKK,15,1,23,18,465,2023,5,9
Emirates,TLV,BKK,14,1,13,7,507,2023,5,9
Thai Airways,TLV,BKK,11,0,22,14,629,2023,5,9
Gulf Air,TLV,BKK,17,2,17,15,383,2023,5,9
Air India,TLV,BKK,17,1,22,19,445,2023,5,9
Emirates,TLV,BKK,19,1,19,18,456,2023,5,9
Ethiopian Air,TLV,BKK,16,1,15,12,486,2023,5,9
Cathay Pacific,TLV,BKK,16,1,14,11,503,2023,5,9
Emirates,TLV,BKK,13,1,1,18,475,2023,5,10
EL AL,TLV,BKK,11,0,22,14,411,2023,5,10
Multiple companies,TLV,BKK,33,3,18,8,405,2023,5,10
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,10
Emirates,TLV,BKK,12,1,19,12,542,2023,5,10
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,10
Emirates,TLV,BKK,13,1,1,18,461,2023,5,10
Emirates,TLV,BKK,14,1,12,7,461,2023,5,10
Emirates,TLV,BKK,14,1,13,7,501,2023,5,10
Emirates,TLV,BKK,13,1,19,12,533,2023,5,10
Emirates,TLV,BKK,15,1,23,18,461,2023,5,10
Emirates,TLV,BKK,16,1,11,7,501,2023,5,10
Turkish Airlines,TLV,BKK,14,1,12,6,702,2023,5,10
Emirates,TLV,BKK,19,1,12,12,461,2023,5,10
Emirates,TLV,BKK,20,1,12,12,461,2023,5,10
Emirates,TLV,BKK,18,1,13,12,501,2023,5,10
Emirates,TLV,BKK,19,1,13,12,501,2023,5,10
Emirates,TLV,BKK,12,1,19,12,475,2023,5,21
EL AL,TLV,BKK,11,0,22,14,410,2023,5,21
Arkia,TLV,BKK,31,2,7,19,368,2023,5,21
Arkia,TLV,BKK,20,2,7,8,380,2023,5,21
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,21
Emirates,TLV,BKK,12,1,19,12,459,2023,5,21
Emirates,TLV,BKK,13,1,19,12,459,2023,5,21
Air India,TLV,BKK,17,1,22,19,445,2023,5,21
Emirates,TLV,BKK,14,1,12,7,459,2023,5,21
Emirates,TLV,BKK,19,1,19,18,459,2023,5,21
Cathay Pacific,TLV,BKK,15,1,14,10,506,2023,5,21
Cathay Pacific,TLV,BKK,16,1,14,11,506,2023,5,21
EL AL,TLV,BKK,21,2,7,8,418,2023,5,21
BlueBird Airways,TLV,BKK,20,2,8,8,435,2023,5,21
Emirates,TLV,BKK,19,1,12,12,459,2023,5,21
Emirates,TLV,BKK,20,1,12,12,459,2023,5,21
Emirates,TLV,BKK,26,1,12,18,464,2023,5,21
Emirates,TLV,BKK,13,1,19,12,475,2023,5,22
EL AL,TLV,BKK,11,0,22,14,410,2023,5,22
Gulf Air,TLV,BKK,20,1,9,9,386,2023,5,22
Etihad Airways,TLV,BKK,13,1,14,8,414,2023,5,22
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,22
Emirates,TLV,BKK,13,1,19,12,459,2023,5,22
Emirates,TLV,BKK,14,1,12,7,459,2023,5,22
Royal Jordanian,TLV,BKK,26,1,8,15,418,2023,5,22
Emirates,TLV,BKK,19,1,19,18,459,2023,5,22
Emirates,TLV,BKK,20,1,12,12,459,2023,5,22
Ethiopian Air,TLV,BKK,23,1,10,13,486,2023,5,22
Emirates,TLV,BKK,12,1,19,12,540,2023,5,22
Turkish Airlines,TLV,BKK,14,1,12,6,700,2023,5,22
Emirates,TLV,BKK,26,1,12,18,464,2023,5,22
Arkia,TLV,BKK,24,2,9,13,521,2023,5,22
Royal Jordanian,TLV,BKK,14,2,0,18,527,2023,5,22
Emirates,TLV,BKK,12,1,19,12,475,2023,5,23
EL AL,TLV,BKK,11,0,22,14,413,2023,5,23
Gulf Air,TLV,BKK,17,2,17,15,383,2023,5,23
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,23
Royal Jordanian,TLV,BKK,10,1,0,15,418,2023,5,23
Emirates,TLV,BKK,12,1,19,12,464,2023,5,23
Air India,TLV,BKK,17,1,22,19,445,2023,5,23
Emirates,TLV,BKK,14,1,12,7,464,2023,5,23
Thai Airways,TLV,BKK,11,0,22,14,628,2023,5,23
Emirates,TLV,BKK,13,1,19,12,464,2023,5,23
Emirates,TLV,BKK,19,1,19,18,464,2023,5,23
Emirates,TLV,BKK,19,1,12,12,464,2023,5,23
Emirates,TLV,BKK,20,1,12,12,464,2023,5,23
Ethiopian Air,TLV,BKK,16,1,15,12,486,2023,5,23
Cathay Pacific,TLV,BKK,15,1,14,10,512,2023,5,23
Cathay Pacific,TLV,BKK,16,1,14,11,512,2023,5,23
Emirates,TLV,BKK,13,1,19,12,475,2023,5,24
EL AL,TLV,BKK,11,0,22,14,410,2023,5,24
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,24
Emirates,TLV,BKK,12,1,19,12,460,2023,5,24
Thai Airways,TLV,BKK,11,0,22,14,628,2023,5,24
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,24
Emirates,TLV,BKK,13,1,19,12,460,2023,5,24
Emirates,TLV,BKK,14,1,12,7,460,2023,5,24
EL AL,TLV,BKK,15,1,23,19,564,2023,5,24
Emirates,TLV,BKK,19,1,19,18,460,2023,5,24
Emirates,TLV,BKK,19,1,12,12,460,2023,5,24
Emirates,TLV,BKK,20,1,12,12,460,2023,5,24
Ethiopian Air,TLV,BKK,23,1,10,13,486,2023,5,24
Royal Jordanian,TLV,BKK,17,2,8,6,531,2023,5,24
Pegasus Airlines,TLV,BKK,19,2,6,6,538,2023,5,24
EL AL,TLV,BKK,17,2,13,11,550,2023,5,24
Emirates,TLV,BKK,12,1,19,12,475,2023,5,25
Etihad Airways,TLV,BKK,13,1,15,8,437,2023,5,25
Royal Jordanian,TLV,BKK,10,1,0,15,444,2023,5,25
Emirates,TLV,BKK,12,1,19,12,475,2023,5,25
Emirates,TLV,BKK,14,1,12,7,475,2023,5,25
Emirates,TLV,BKK,13,1,19,12,475,2023,5,25
Emirates,TLV,BKK,19,1,19,18,475,2023,5,25
Ethiopian Air,TLV,BKK,16,1,15,12,504,2023,5,25
Cathay Pacific,TLV,BKK,15,1,14,10,527,2023,5,25
Emirates,TLV,BKK,19,1,12,12,475,2023,5,25
Emirates,TLV,BKK,20,1,12,12,475,2023,5,25
Cathay Pacific,TLV,BKK,16,1,14,11,527,2023,5,25
Emirates,TLV,BKK,26,1,12,18,475,2023,5,25
Emirates,TLV,BKK,32,1,19,7,475,2023,5,25
Ethiopian Air,TLV,BKK,31,1,1,12,504,2023,5,25
Cathay Pacific,TLV,BKK,21,1,14,16,527,2023,5,25
Emirates,TLV,BKK,13,1,19,12,475,2023,5,26
Etihad Airways,TLV,BKK,14,1,14,8,437,2023,5,26
Emirates,TLV,BKK,13,1,19,12,475,2023,5,26
Royal Jordanian,TLV,BKK,16,1,19,15,444,2023,5,26
Emirates,TLV,BKK,13,1,1,18,475,2023,5,26
Emirates,TLV,BKK,14,1,12,7,475,2023,5,26
Emirates,TLV,BKK,15,1,23,18,475,2023,5,26
Emirates,TLV,BKK,14,1,13,7,517,2023,5,26
Emirates,TLV,BKK,12,1,19,12,559,2023,5,26
Emirates,TLV,BKK,19,1,19,18,475,2023,5,26
Emirates,TLV,BKK,19,1,12,12,475,2023,5,26
Emirates,TLV,BKK,20,1,12,12,475,2023,5,26
Emirates,TLV,BKK,25,1,1,7,475,2023,5,26
Ethiopian Air,TLV,BKK,23,1,10,13,504,2023,5,26
Emirates,TLV,BKK,16,1,11,7,517,2023,5,26
Emirates,TLV,BKK,18,1,13,12,517,2023,5,26
Emirates,TLV,BKK,12,1,19,12,475,2023,5,27
Etihad Airways,TLV,BKK,14,1,14,8,437,2023,5,27
EL AL,TLV,BKK,11,0,22,14,456,2023,5,27
Royal Jordanian,TLV,BKK,10,1,0,15,444,2023,5,27
Emirates,TLV,BKK,12,1,19,12,475,2023,5,27
Thai Airways,TLV,BKK,11,0,22,14,727,2023,5,27
Emirates,TLV,BKK,13,1,1,18,475,2023,5,27
Emirates,TLV,BKK,13,1,19,12,475,2023,5,27
Emirates,TLV,BKK,14,1,12,7,475,2023,5,27
Air India,TLV,BKK,17,1,22,19,461,2023,5,27
Emirates,TLV,BKK,15,1,23,18,475,2023,5,27
Emirates,TLV,BKK,19,1,19,18,475,2023,5,27
Emirates,TLV,BKK,19,1,12,12,475,2023,5,27
Emirates,TLV,BKK,20,1,12,12,475,2023,5,27
Emirates,TLV,BKK,26,1,12,18,475,2023,5,27
Emirates,TLV,BKK,30,1,1,12,475,2023,5,27
Emirates,TLV,BKK,12,1,19,12,475,2023,5,28
EL AL,TLV,BKK,11,0,22,14,413,2023,5,28
BlueBird Airways,TLV,BKK,20,2,8,8,359,2023,5,28
Etihad Airways,TLV,BKK,14,1,14,8,380,2023,5,28
BlueBird Airways,TLV,BKK,21,2,8,9,359,2023,5,28
Emirates,TLV,BKK,12,1,19,12,463,2023,5,28
Emirates,TLV,BKK,13,1,19,12,463,2023,5,28
Emirates,TLV,BKK,14,1,12,7,463,2023,5,28
Thai Airways,TLV,BKK,11,0,22,14,628,2023,5,28
Hahn Air Systems,TLV,BKK,20,2,8,8,392,2023,5,28
Air India,TLV,BKK,17,1,22,19,445,2023,5,28
Emirates,TLV,BKK,19,1,19,18,463,2023,5,28
Emirates,TLV,BKK,19,1,12,12,463,2023,5,28
Emirates,TLV,BKK,20,1,12,12,463,2023,5,28
Emirates,TLV,BKK,15,1,23,18,465,2023,5,28
Emirates,TLV,BKK,13,1,1,18,507,2023,5,28
Emirates,TLV,BKK,12,1,19,12,475,2023,5,29
EL AL,TLV,BKK,11,0,22,14,408,2023,5,29
Multiple companies,TLV,BKK,42,3,20,19,319,2023,5,29
Gulf Air,TLV,BKK,20,1,9,9,376,2023,5,29
Etihad Airways,TLV,BKK,13,1,14,8,414,2023,5,29
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,29
Emirates,TLV,BKK,12,1,19,12,458,2023,5,29
Emirates,TLV,BKK,13,1,19,12,458,2023,5,29
Thai Airways,TLV,BKK,11,0,22,14,628,2023,5,29
Royal Jordanian,TLV,BKK,26,1,8,15,418,2023,5,29
Emirates,TLV,BKK,14,1,12,7,458,2023,5,29
Emirates,TLV,BKK,19,1,19,18,458,2023,5,29
Emirates,TLV,BKK,19,1,12,12,458,2023,5,29
Emirates,TLV,BKK,13,1,1,18,465,2023,5,29
Emirates,TLV,BKK,15,1,23,18,465,2023,5,29
Emirates,TLV,BKK,20,1,12,12,458,2023,5,29
Ethiopian Air,TLV,BKK,23,1,10,13,486,2023,5,29
Emirates,TLV,BKK,12,1,19,12,475,2023,5,30
EL AL,TLV,BKK,11,0,22,14,413,2023,5,30
Arkia,TLV,BKK,32,2,7,19,349,2023,5,30
Royal Jordanian,TLV,BKK,10,1,0,15,418,2023,5,30
Gulf Air,TLV,BKK,17,2,17,15,383,2023,5,30
Etihad Airways,TLV,BKK,14,1,14,8,414,2023,5,30
Emirates,TLV,BKK,12,1,19,12,465,2023,5,30
Emirates,TLV,BKK,13,1,1,18,465,2023,5,30
Emirates,TLV,BKK,13,1,19,12,465,2023,5,30
Multiple companies,TLV,BKK,14,2,13,7,440,2023,5,30
Air India,TLV,BKK,17,1,22,19,445,2023,5,30
Emirates,TLV,BKK,14,1,12,7,465,2023,5,30
Emirates,TLV,BKK,15,1,23,18,465,2023,5,30
Emirates,TLV,BKK,19,1,19,18,465,2023,5,30
Emirates,TLV,BKK,19,1,12,12,465,2023,5,30
Emirates,TLV,BKK,20,1,12,12,465,2023,5,30
Ethiopian Air,TLV,BKK,16,1,15,12,486,2023,5,30
Emirates,TLV,BKK,12,1,19,12,475,2023,5,31
EL AL,TLV,BKK,11,0,22,14,409,2023,5,31
Multiple companies,TLV,BKK,38,2,10,4,312,2023,5,31
Etihad Airways,TLV,BKK,14,1,14,8,380,2023,5,31
Emirates,TLV,BKK,12,1,19,12,459,2023,5,31
Emirates,TLV,BKK,13,1,19,13,459,2023,5,31
Royal Jordanian,TLV,BKK,16,1,19,15,418,2023,5,31
Emirates,TLV,BKK,13,1,1,18,459,2023,5,31
Emirates,TLV,BKK,14,1,12,7,459,2023,5,31
Thai Airways,TLV,BKK,11,0,22,14,628,2023,5,31
Emirates,TLV,BKK,15,1,23,19,459,2023,5,31
Emirates,TLV,BKK,19,1,19,19,459,2023,5,31
Emirates,TLV,BKK,14,1,13,7,540,2023,5,31
Emirates,TLV,BKK,16,1,11,7,540,2023,5,31
Emirates,TLV,BKK,19,1,12,12,459,2023,5,31
Emirates,TLV,BKK,20,1,12,13,459,2023,5,31
Ethiopian Air,TLV,BKK,23,1,10,13,486,2023,5,31
Emirates,TLV,BKK,12,1,19,12,475,2023,6,1
EL AL,TLV,BKK,11,0,22,14,413,2023,6,1
Multiple companies,TLV,BKK,38,2,10,4,317,2023,6,1
Etihad Airways,TLV,BKK,13,1,15,8,414,2023,6,1
Royal Jordanian,TLV,BKK,10,1,0,15,418,2023,6,1
Emirates,TLV,BKK,12,1,19,12,464,2023,6,1
Emirates,TLV,BKK,13,1,19,13,464,2023,6,1
Emirates,TLV,BKK,13,1,1,19,464,2023,6,1
Emirates,TLV,BKK,14,1,13,7,464,2023,6,1
Emirates,TLV,BKK,14,1,12,7,464,2023,6,1
Cathay Pacific,TLV,BKK,15,1,14,10,511,2023,6,1
Thai Airways,TLV,BKK,11,0,22,14,628,2023,6,1
Gulf Air,TLV,BKK,19,2,16,15,456,2023,6,1
Emirates,TLV,BKK,15,1,23,19,464,2023,6,1
Emirates,TLV,BKK,16,1,11,7,464,2023,6,1
Ethiopian Air,TLV,BKK,16,1,15,12,486,2023,6,1
Cathay Pacific,TLV,BKK,16,1,14,11,511,2023,6,1
